OrderID,OrderDate,OrderMonth,FiscalQuarter,CustomerName,CustomerSegment,Industry,Country,Region,SalesRep,ProductCategory,ProductLine,ProductName,Quantity,UnitPrice,DiscountPct,UnitCost,SalesChannel,OrderSource,OrderStatus,FulfillmentRegion,PriorityTier,ContractType,DeploymentModel,SupportPlan,SalesMotion,ContractTermMonths,IsRenewal
850011,2026-01-11,2026-01,FY26-Q1,Kepler Robotics,Enterprise,Technology,Japan,Asia Pacific,Jordan Reyes,Automation,Workflows,Workflow Orchestrator,44,6650.00,10,3680.00,Renewal Desk,Inbound,Invoiced,Asia Pacific South,Priority,Subscription,Customer Managed,Premier,Renewal,36,Yes
850012,2026-01-12,2026-01,FY26-Q1,Lighthouse Media,SMB,Media,United Kingdom,Europe,Quinn Foster,Managed Services,Backup,Recovery Assurance Service,2,10625.00,5,6325.00,Partner,Event,Provisioned,Europe West,Standard,Managed Services,Hybrid,Premier,Net New,24,No
850013,2026-01-13,2026-01,FY26-Q1,Meridian Mining,Enterprise,Mining,South Africa,Middle East & Africa,Taylor Brooks,Data Integration,Pipelines,API Ingestion Hub,12,3750.00,8,2110.00,Marketplace,Upsell,Booked,Africa South,Priority,Subscription,Azure Managed,Advanced,Expansion,12,No
850014,2026-01-14,2026-01,FY26-Q1,Nimbus Hotels,MidMarket,Hospitality,United Arab Emirates,Middle East & Africa,Parker Diaz,Analytics,Operations,Operations Command Dashboard,17,7525.00,11,3980.00,Renewal Desk,Upsell,Provisioned,Africa South,Priority,Subscription,Hybrid,Advanced,Renewal,12,Yes
850015,2026-01-15,2026-01,FY26-Q1,Orchard Biotech,Enterprise,Biotech,United States,North America,Riley Morgan,Automation,Workflows,Workflow Orchestrator,26,7300.00,15,3985.00,Marketplace,Upsell,Active,US West,Priority,Subscription,Hybrid,Premier,Expansion,12,No
850016,2026-01-16,2026-01,FY26-Q1,Pioneer Insurance,MidMarket,Insurance,Canada,North America,Morgan Patel,Managed Services,Backup,Recovery Assurance Service,1,10725.00,15,6305.00,Renewal Desk,Upsell,Provisioned,US East,Priority,Managed Services,Hybrid,Premier,Renewal,12,Yes
850017,2026-01-17,2026-01,FY26-Q1,Quantum Freight,Enterprise,Logistics,Germany,Europe,Casey Singh,Data Integration,Pipelines,API Ingestion Hub,40,3650.00,2,2000.00,Direct,Outbound,Active,Europe West,Priority,Subscription,Customer Managed,Premier,Net New,24,No
850018,2026-01-18,2026-01,FY26-Q1,Redwood Capital,Enterprise,Financial Services,United States,North America,Morgan Patel,Analytics,Operations,Operations Command Dashboard,47,7125.00,5,3910.00,Direct,Inbound,Invoiced,US East,Priority,Subscription,Azure Managed,Advanced,Expansion,36,No
850019,2026-01-19,2026-01,FY26-Q1,Summit Utilities,Public Sector,Utilities,United Kingdom,Europe,Reese Turner,Automation,Workflows,Workflow Orchestrator,9,6900.00,18,3830.00,Renewal Desk,Upsell,Renewal Pending,Europe West,Priority,Subscription,Azure Managed,Advanced,Renewal,12,Yes
850020,2026-01-20,2026-01,FY26-Q1,Tidal Commerce,SMB,Retail,Singapore,Asia Pacific,Taylor Brooks,Managed Services,Backup,Recovery Assurance Service,4,10375.00,8,6300.00,Direct,Outbound,Booked,Asia Pacific South,Standard,Managed Services,Hybrid,Advanced,Net New,24,No
850021,2026-01-21,2026-01,FY26-Q1,Umbra Security,MidMarket,Cybersecurity,Israel,Middle East & Africa,Reese Turner,Data Integration,Pipelines,API Ingestion Hub,21,3750.00,8,2025.00,Partner,Referral,Invoiced,Africa South,Standard,Subscription,Hybrid,Essentials,Expansion,12,No
850022,2026-01-22,2026-01,FY26-Q1,Vector Mobility,Enterprise,Transportation,Japan,Asia Pacific,Logan Chen,Analytics,Operations,Operations Command Dashboard,29,6875.00,14,3715.00,Partner,Referral,Invoiced,Asia Pacific South,Priority,Subscription,Customer Managed,Advanced,Net New,36,No
850023,2026-01-23,2026-01,FY26-Q1,Westbridge Pharma,Enterprise,Pharmaceuticals,Switzerland,Europe,Taylor Brooks,Automation,Workflows,Workflow Orchestrator,38,6800.00,2,3720.00,Partner,Event,Provisioned,Europe West,Priority,Subscription,Customer Managed,Premier,Expansion,24,No
850024,2026-01-24,2026-01,FY26-Q1,Xenon Labs,SMB,Technology,India,Asia Pacific,Taylor Brooks,Managed Services,Backup,Recovery Assurance Service,4,10475.00,3,6280.00,Renewal Desk,Inbound,Invoiced,Asia Pacific South,Priority,Managed Services,Hybrid,Advanced,Renewal,12,Yes
850025,2026-01-25,2026-01,FY26-Q1,Yellowtail Resorts,SMB,Hospitality,Mexico,Latin America,Logan Chen,Data Integration,Pipelines,API Ingestion Hub,7,3350.00,1,2055.00,Marketplace,Inbound,Invoiced,Latin America South,Standard,Subscription,Azure Managed,Essentials,Net New,36,No
850026,2026-01-26,2026-01,FY26-Q1,Zenith Public Works,Public Sector,Government,United States,North America,Morgan Patel,Analytics,Operations,Operations Command Dashboard,15,7275.00,10,3920.00,Marketplace,Inbound,Invoiced,US West,Priority,Subscription,Hybrid,Advanced,Expansion,36,No
850027,2026-01-27,2026-01,FY26-Q1,Asteria Foods,MidMarket,Consumer Goods,Spain,Europe,Taylor Brooks,Automation,Workflows,Workflow Orchestrator,16,6950.00,11,3840.00,Renewal Desk,Inbound,Provisioned,Europe West,Priority,Subscription,Hybrid,Advanced,Renewal,24,Yes
850028,2026-01-28,2026-01,FY26-Q1,Borealis Health,Enterprise,Healthcare,Canada,North America,Avery Cole,Managed Services,Backup,Recovery Assurance Service,1,10625.00,10,6345.00,Marketplace,Inbound,Provisioned,US East,Strategic,Managed Services,Hybrid,Premier,Net New,24,No
850029,2026-01-29,2026-01,FY26-Q1,Celestial Motors,Enterprise,Automotive,Germany,Europe,Parker Diaz,Data Integration,Pipelines,API Ingestion Hub,33,3500.00,17,2040.00,Renewal Desk,Upsell,Renewal Pending,Europe West,Priority,Subscription,Customer Managed,Premier,Renewal,36,Yes
850030,2026-01-30,2026-01,FY26-Q1,Driftline Apparel,SMB,Retail,Australia,Asia Pacific,Cameron Kim,Analytics,Operations,Operations Command Dashboard,41,6975.00,15,3855.00,Direct,Inbound,Invoiced,Asia Pacific South,Standard,Subscription,Azure Managed,Essentials,Net New,36,No
850031,2026-01-31,2026-01,FY26-Q1,Eclipse Networks,Enterprise,Telecommunications,United States,North America,Reese Turner,Automation,Workflows,Workflow Orchestrator,47,7150.00,5,3855.00,Direct,Inbound,Active,US East,Priority,Subscription,Azure Managed,Premier,Expansion,12,No
850032,2026-02-01,2026-02,FY26-Q1,Fathom Analytics,MidMarket,Technology,Ireland,Europe,Riley Morgan,Managed Services,Backup,Recovery Assurance Service,2,10225.00,3,6240.00,Renewal Desk,Inbound,Renewal Pending,Europe West,Priority,Managed Services,Hybrid,Advanced,Renewal,36,Yes
850033,2026-02-02,2026-02,FY26-Q1,Greatwater Shipping,Enterprise,Logistics,Singapore,Asia Pacific,Taylor Brooks,Data Integration,Pipelines,API Ingestion Hub,18,3900.00,7,2245.00,Partner,Event,Provisioned,Asia Pacific South,Priority,Subscription,Hybrid,Premier,Net New,36,No
850034,2026-02-03,2026-02,FY26-Q1,Helios Devices,MidMarket,Manufacturing,Japan,Asia Pacific,Riley Morgan,Analytics,Operations,Operations Command Dashboard,20,6875.00,5,3660.00,Partner,Event,Invoiced,Asia Pacific South,Standard,Subscription,Customer Managed,Essentials,Expansion,24,No
850035,2026-02-04,2026-02,FY26-Q1,Ironclad Construction,MidMarket,Construction,United Arab Emirates,Middle East & Africa,Casey Singh,Automation,Workflows,Workflow Orchestrator,34,6400.00,13,3580.00,Renewal Desk,Inbound,Invoiced,Africa South,Priority,Subscription,Customer Managed,Essentials,Renewal,24,Yes
850036,2026-02-05,2026-02,FY26-Q1,Jetstream Travel,SMB,Travel,United Kingdom,Europe,Quinn Foster,Managed Services,Backup,Recovery Assurance Service,2,10475.00,12,6305.00,Partner,Event,Provisioned,Europe West,Standard,Managed Services,Hybrid,Premier,Expansion,36,No
850037,2026-02-06,2026-02,FY26-Q1,Kestrel Finance,Enterprise,Financial Services,United States,North America,Taylor Brooks,Data Integration,Pipelines,API Ingestion Hub,42,4000.00,20,2175.00,Renewal Desk,Inbound,Provisioned,US East,Priority,Subscription,Azure Managed,Premier,Renewal,12,Yes
850038,2026-02-07,2026-02,FY26-Q1,Northstar Education,Public Sector,Education,Canada,North America,Morgan Patel,Analytics,Operations,Operations Command Dashboard,7,7675.00,6,4045.00,Marketplace,Inbound,Active,US West,Priority,Subscription,Hybrid,Premier,Net New,24,No
850039,2026-02-08,2026-02,FY26-Q1,Optima Warehousing,MidMarket,Logistics,Netherlands,Europe,Parker Diaz,Automation,Workflows,Workflow Orchestrator,13,6800.00,1,3880.00,Marketplace,Inbound,Provisioned,Europe West,Standard,Subscription,Hybrid,Advanced,Expansion,36,No
850040,2026-02-09,2026-02,FY26-Q1,Pulse Renewables,Enterprise,Energy,Australia,Asia Pacific,Jordan Reyes,Managed Services,Backup,Recovery Assurance Service,4,10475.00,10,6300.00,Renewal Desk,Inbound,Provisioned,Asia Pacific South,Strategic,Managed Services,Hybrid,Advanced,Renewal,12,Yes
850041,2026-02-10,2026-02,FY26-Q1,Alpine Manufacturing,Enterprise,Manufacturing,United States,North America,Avery Cole,Lakehouse,Optimization,Delta Optimization Pack,29,6400.00,10,3580.00,Direct,Inbound,Provisioned,US Central,Priority,Subscription,Customer Managed,Premier,Net New,36,No
850042,2026-02-11,2026-02,FY26-Q1,Bluebird Retail,MidMarket,Retail,Canada,North America,Morgan Patel,Governance,Catalog,Data Catalog Accelerator,31,5925.00,8,3290.00,Marketplace,Inbound,Active,US East,Standard,Subscription,Azure Managed,Advanced,Expansion,36,No
850043,2026-02-12,2026-02,FY26-Q1,Canyon Health,Enterprise,Healthcare,United States,North America,Casey Singh,Platform,Enablement,Fabric Enablement Bundle,36,8100.00,12,4420.00,Direct,Outbound,Active,US Central,Strategic,Subscription,Customer Managed,Premier,Net New,24,No
850044,2026-02-13,2026-02,FY26-Q1,Delta Logistics,MidMarket,Logistics,Germany,Europe,Cameron Kim,Security,Compliance,Compliance Evidence Hub,45,8325.00,10,4685.00,Direct,Inbound,Invoiced,Europe West,Standard,Subscription,Hybrid,Essentials,Expansion,24,No
850045,2026-02-14,2026-02,FY26-Q1,Evergreen Schools,Public Sector,Education,United States,North America,Jordan Reyes,Lakehouse,Optimization,Delta Optimization Pack,8,6800.00,11,3885.00,Renewal Desk,Inbound,Invoiced,US West,Priority,Subscription,Hybrid,Premier,Renewal,36,Yes
850046,2026-02-15,2026-02,FY26-Q1,Frontier Energy,Enterprise,Energy,United Kingdom,Europe,Logan Chen,Governance,Catalog,Data Catalog Accelerator,13,6175.00,7,3180.00,Direct,Inbound,Active,Europe North,Priority,Subscription,Customer Managed,Premier,Net New,12,No
850047,2026-02-16,2026-02,FY26-Q1,Granite Aerospace,Enterprise,Aerospace,United States,North America,Taylor Brooks,Platform,Enablement,Fabric Enablement Bundle,22,8500.00,5,4625.00,Partner,Event,Active,US West,Strategic,Subscription,Hybrid,Premier,Expansion,24,No
850048,2026-02-17,2026-02,FY26-Q1,Harbor Foods,SMB,Consumer Goods,Brazil,Latin America,Riley Morgan,Security,Compliance,Compliance Evidence Hub,24,8325.00,8,4710.00,Renewal Desk,Inbound,Invoiced,Latin America South,Priority,Subscription,Azure Managed,Advanced,Renewal,24,Yes
850049,2026-02-18,2026-02,FY26-Q1,Ion Medical,Enterprise,Healthcare,Singapore,Asia Pacific,Skyler Bennett,Lakehouse,Optimization,Delta Optimization Pack,30,6800.00,10,3815.00,Marketplace,Upsell,Provisioned,Asia Pacific East,Priority,Subscription,Azure Managed,Premier,Net New,24,No
850050,2026-02-19,2026-02,FY26-Q1,Juniper Telecom,MidMarket,Telecommunications,Australia,Asia Pacific,Reese Turner,Governance,Catalog,Data Catalog Accelerator,41,6075.00,15,3305.00,Renewal Desk,Upsell,Invoiced,Asia Pacific East,Priority,Subscription,Hybrid,Essentials,Renewal,24,Yes
850051,2026-02-20,2026-02,FY26-Q1,Kepler Robotics,Enterprise,Technology,Japan,Asia Pacific,Riley Morgan,Platform,Enablement,Fabric Enablement Bundle,48,8450.00,12,4555.00,Marketplace,Upsell,Active,Asia Pacific East,Strategic,Subscription,Azure Managed,Premier,Net New,12,No
850052,2026-02-21,2026-02,FY26-Q1,Lighthouse Media,SMB,Media,United Kingdom,Europe,Jordan Reyes,Security,Compliance,Compliance Evidence Hub,10,7925.00,13,4515.00,Marketplace,Upsell,Provisioned,Europe West,Standard,Subscription,Customer Managed,Advanced,Expansion,36,No
850053,2026-02-22,2026-02,FY26-Q1,Meridian Mining,Enterprise,Mining,South Africa,Middle East & Africa,Casey Singh,Lakehouse,Optimization,Delta Optimization Pack,16,6300.00,8,3535.00,Renewal Desk,Inbound,Renewal Pending,Middle East Hub,Priority,Subscription,Customer Managed,Advanced,Renewal,24,Yes
850054,2026-02-23,2026-02,FY26-Q1,Nimbus Hotels,MidMarket,Hospitality,United Arab Emirates,Middle East & Africa,Avery Cole,Governance,Catalog,Data Catalog Accelerator,21,6075.00,3,3330.00,Marketplace,Inbound,Provisioned,Middle East Hub,Standard,Subscription,Azure Managed,Advanced,Net New,24,No
850055,2026-02-24,2026-02,FY26-Q1,Orchard Biotech,Enterprise,Biotech,United States,North America,Quinn Foster,Platform,Enablement,Fabric Enablement Bundle,30,8100.00,7,4460.00,Direct,Outbound,Active,US Central,Strategic,Subscription,Customer Managed,Premier,Expansion,24,No
850056,2026-02-25,2026-02,FY26-Q1,Pioneer Insurance,MidMarket,Insurance,Canada,North America,Logan Chen,Security,Compliance,Compliance Evidence Hub,39,8475.00,8,4720.00,Renewal Desk,Upsell,Renewal Pending,US West,Priority,Subscription,Hybrid,Advanced,Renewal,24,Yes
850057,2026-02-26,2026-02,FY26-Q1,Quantum Freight,Enterprise,Logistics,Germany,Europe,Skyler Bennett,Lakehouse,Optimization,Delta Optimization Pack,44,6800.00,14,3825.00,Partner,Event,Active,Europe North,Priority,Subscription,Hybrid,Premier,Expansion,36,No
850058,2026-02-27,2026-02,FY26-Q1,Redwood Capital,Enterprise,Financial Services,United States,North America,Logan Chen,Governance,Catalog,Data Catalog Accelerator,5,5925.00,5,3135.00,Renewal Desk,Upsell,Renewal Pending,US Central,Priority,Subscription,Customer Managed,Advanced,Renewal,12,Yes
850059,2026-02-28,2026-02,FY26-Q1,Summit Utilities,Public Sector,Utilities,United Kingdom,Europe,Morgan Patel,Platform,Enablement,Fabric Enablement Bundle,13,8250.00,5,4580.00,Partner,Referral,Booked,Europe North,Priority,Subscription,Hybrid,Advanced,Net New,24,No
850060,2026-03-01,2026-03,FY26-Q1,Tidal Commerce,SMB,Retail,Singapore,Asia Pacific,Casey Singh,Security,Compliance,Compliance Evidence Hub,18,8025.00,0,4655.00,Partner,Event,Booked,Asia Pacific South,Standard,Subscription,Azure Managed,Essentials,Expansion,36,No
850061,2026-03-02,2026-03,FY26-Q1,Umbra Security,MidMarket,Cybersecurity,Israel,Middle East & Africa,Morgan Patel,Lakehouse,Optimization,Delta Optimization Pack,25,6400.00,6,3575.00,Renewal Desk,Upsell,Provisioned,Middle East Hub,Priority,Subscription,Azure Managed,Essentials,Renewal,24,Yes
850062,2026-03-03,2026-03,FY26-Q1,Vector Mobility,Enterprise,Transportation,Japan,Asia Pacific,Reese Turner,Governance,Catalog,Data Catalog Accelerator,33,6325.00,12,3340.00,Partner,Referral,Invoiced,Asia Pacific East,Priority,Subscription,Hybrid,Advanced,Net New,12,No
850063,2026-03-04,2026-03,FY26-Q1,Westbridge Pharma,Enterprise,Pharmaceuticals,Switzerland,Europe,Casey Singh,Platform,Enablement,Fabric Enablement Bundle,42,8200.00,8,4595.00,Marketplace,Upsell,Provisioned,Europe North,Strategic,Subscription,Azure Managed,Premier,Expansion,36,No
850064,2026-03-05,2026-03,FY26-Q1,Xenon Labs,SMB,Technology,India,Asia Pacific,Casey Singh,Security,Compliance,Compliance Evidence Hub,42,7925.00,8,4460.00,Marketplace,Upsell,Booked,Asia Pacific South,Standard,Subscription,Customer Managed,Essentials,Net New,24,No
850065,2026-03-06,2026-03,FY26-Q1,Yellowtail Resorts,SMB,Hospitality,Mexico,Latin America,Reese Turner,Lakehouse,Optimization,Delta Optimization Pack,11,6250.00,15,3480.00,Direct,Inbound,Invoiced,Latin America South,Standard,Subscription,Customer Managed,Essentials,Expansion,12,No
850066,2026-03-07,2026-03,FY26-Q1,Zenith Public Works,Public Sector,Government,United States,North America,Logan Chen,Governance,Catalog,Data Catalog Accelerator,19,6175.00,13,3270.00,Renewal Desk,Upsell,Provisioned,US East,Priority,Subscription,Azure Managed,Advanced,Renewal,12,Yes
850067,2026-03-08,2026-03,FY26-Q1,Asteria Foods,MidMarket,Consumer Goods,Spain,Europe,Casey Singh,Platform,Enablement,Fabric Enablement Bundle,20,7700.00,15,4315.00,Direct,Outbound,Active,Europe North,Standard,Subscription,Customer Managed,Advanced,Net New,36,No
850068,2026-03-09,2026-03,FY26-Q1,Borealis Health,Enterprise,Healthcare,Canada,North America,Cameron Kim,Security,Compliance,Compliance Evidence Hub,29,8575.00,5,4845.00,Direct,Inbound,Provisioned,US West,Strategic,Subscription,Hybrid,Premier,Expansion,36,No
850069,2026-03-10,2026-03,FY26-Q1,Celestial Motors,Enterprise,Automotive,Germany,Europe,Avery Cole,Lakehouse,Optimization,Delta Optimization Pack,37,7050.00,13,3865.00,Renewal Desk,Upsell,Invoiced,Europe North,Priority,Subscription,Hybrid,Premier,Renewal,12,Yes
850070,2026-03-11,2026-03,FY26-Q1,Driftline Apparel,SMB,Retail,Australia,Asia Pacific,Parker Diaz,Governance,Catalog,Data Catalog Accelerator,45,5775.00,12,3080.00,Direct,Inbound,Invoiced,Asia Pacific East,Standard,Subscription,Customer Managed,Essentials,Net New,12,No
850071,2026-03-12,2026-03,FY26-Q1,Eclipse Networks,Enterprise,Telecommunications,United States,North America,Morgan Patel,Platform,Enablement,Fabric Enablement Bundle,5,8500.00,15,4605.00,Renewal Desk,Upsell,Invoiced,US West,Strategic,Subscription,Hybrid,Premier,Renewal,24,Yes
850072,2026-03-13,2026-03,FY26-Q1,Fathom Analytics,MidMarket,Technology,Ireland,Europe,Quinn Foster,Security,Compliance,Compliance Evidence Hub,12,8275.00,10,4595.00,Partner,Event,Invoiced,Europe West,Standard,Subscription,Azure Managed,Essentials,Net New,12,No
850073,2026-03-14,2026-03,FY26-Q1,Greatwater Shipping,Enterprise,Logistics,Singapore,Asia Pacific,Casey Singh,Lakehouse,Optimization,Delta Optimization Pack,22,6900.00,0,3795.00,Marketplace,Upsell,Provisioned,Asia Pacific East,Priority,Subscription,Azure Managed,Premier,Expansion,12,No
850074,2026-03-15,2026-03,FY26-Q1,Helios Devices,MidMarket,Manufacturing,Japan,Asia Pacific,Quinn Foster,Governance,Catalog,Data Catalog Accelerator,24,5925.00,6,3285.00,Renewal Desk,Inbound,Invoiced,Asia Pacific East,Priority,Subscription,Hybrid,Essentials,Renewal,36,Yes
850075,2026-03-16,2026-03,FY26-Q1,Ironclad Construction,MidMarket,Construction,United Arab Emirates,Middle East & Africa,Skyler Bennett,Platform,Enablement,Fabric Enablement Bundle,38,7800.00,0,4455.00,Marketplace,Upsell,Invoiced,Middle East Hub,Standard,Subscription,Azure Managed,Essentials,Net New,36,No
850076,2026-03-17,2026-03,FY26-Q1,Jetstream Travel,SMB,Travel,United Kingdom,Europe,Jordan Reyes,Security,Compliance,Compliance Evidence Hub,40,8175.00,3,4495.00,Marketplace,Upsell,Provisioned,Europe West,Standard,Subscription,Customer Managed,Advanced,Expansion,12,No
850077,2026-03-18,2026-03,FY26-Q1,Kestrel Finance,Enterprise,Financial Services,United States,North America,Casey Singh,Lakehouse,Optimization,Delta Optimization Pack,46,6550.00,15,3600.00,Renewal Desk,Inbound,Renewal Pending,US Central,Priority,Subscription,Customer Managed,Premier,Renewal,24,Yes
850078,2026-03-19,2026-03,FY26-Q1,Northstar Education,Public Sector,Education,Canada,North America,Logan Chen,Governance,Catalog,Data Catalog Accelerator,11,6175.00,3,3395.00,Marketplace,Inbound,Active,US East,Priority,Subscription,Azure Managed,Premier,Expansion,36,No
850079,2026-03-20,2026-03,FY26-Q1,Optima Warehousing,MidMarket,Logistics,Netherlands,Europe,Avery Cole,Platform,Enablement,Fabric Enablement Bundle,17,7950.00,13,4355.00,Renewal Desk,Upsell,Renewal Pending,Europe North,Priority,Subscription,Customer Managed,Advanced,Renewal,12,Yes
850080,2026-03-21,2026-03,FY26-Q1,Pulse Renewables,Enterprise,Energy,Australia,Asia Pacific,Riley Morgan,Security,Compliance,Compliance Evidence Hub,22,8475.00,17,4800.00,Direct,Outbound,Booked,Asia Pacific South,Strategic,Subscription,Hybrid,Advanced,Net New,24,No
850081,2026-03-22,2026-03,FY26-Q1,Alpine Manufacturing,Enterprise,Manufacturing,United States,North America,Cameron Kim,AI,Forecasting,Forecast Studio,33,8950.00,3,4780.00,Marketplace,Inbound,Provisioned,US Central,Strategic,Subscription,Customer Managed,Premier,Expansion,12,No
850082,2026-03-23,2026-03,FY26-Q1,Bluebird Retail,MidMarket,Retail,Canada,North America,Logan Chen,Automation,Incident,Incident Response Pack,35,7425.00,8,4040.00,Renewal Desk,Upsell,Invoiced,US West,Priority,Subscription,Hybrid,Advanced,Renewal,12,Yes
850083,2026-03-24,2026-03,FY26-Q1,Canyon Health,Enterprise,Healthcare,United States,North America,Skyler Bennett,Services,Migration,Migration Sprint,8,16000.00,5,9645.00,Marketplace,Upsell,Invoiced,US Central,Strategic,Professional Services,Hybrid,Premier,Net New,12,No
850084,2026-03-25,2026-03,FY26-Q1,Delta Logistics,MidMarket,Logistics,Germany,Europe,Parker Diaz,Data Integration,Streaming,Event Stream Bridge,49,4475.00,8,2585.00,Direct,Inbound,Invoiced,Europe North,Standard,Subscription,Hybrid,Essentials,Expansion,36,No
850085,2026-03-26,2026-03,FY26-Q1,Evergreen Schools,Public Sector,Education,United States,North America,Riley Morgan,AI,Forecasting,Forecast Studio,12,9350.00,3,5085.00,Direct,Outbound,Provisioned,US West,Priority,Subscription,Hybrid,Premier,Net New,12,No
850086,2026-03-27,2026-03,FY26-Q1,Frontier Energy,Enterprise,Energy,United Kingdom,Europe,Reese Turner,Automation,Incident,Incident Response Pack,17,7425.00,0,4055.00,Marketplace,Inbound,Active,Europe West,Priority,Subscription,Azure Managed,Premier,Expansion,24,No
850087,2026-03-28,2026-03,FY26-Q1,Granite Aerospace,Enterprise,Aerospace,United States,North America,Casey Singh,Services,Migration,Migration Sprint,4,15850.00,20,9575.00,Renewal Desk,Inbound,Renewal Pending,US West,Strategic,Professional Services,Azure Managed,Premier,Renewal,12,Yes
850088,2026-03-29,2026-03,FY26-Q1,Harbor Foods,SMB,Consumer Goods,Brazil,Latin America,Quinn Foster,Data Integration,Streaming,Event Stream Bridge,28,4475.00,3,2610.00,Partner,Event,Provisioned,Latin America South,Standard,Subscription,Azure Managed,Advanced,Net New,36,No
850089,2026-03-30,2026-03,FY26-Q1,Ion Medical,Enterprise,Healthcare,Singapore,Asia Pacific,Taylor Brooks,AI,Forecasting,Forecast Studio,34,8950.00,7,5015.00,Partner,Event,Provisioned,Asia Pacific South,Strategic,Subscription,Azure Managed,Premier,Expansion,36,No
850090,2026-03-31,2026-03,FY26-Q1,Juniper Telecom,MidMarket,Telecommunications,Australia,Asia Pacific,Morgan Patel,Automation,Incident,Incident Response Pack,45,6625.00,11,3780.00,Renewal Desk,Upsell,Renewal Pending,Asia Pacific South,Priority,Subscription,Customer Managed,Essentials,Renewal,36,Yes
850091,2026-04-01,2026-04,FY26-Q2,Kepler Robotics,Enterprise,Technology,Japan,Asia Pacific,Quinn Foster,Services,Migration,Migration Sprint,8,15530.00,10,9380.00,Partner,Event,Booked,Asia Pacific South,Strategic,Professional Services,Customer Managed,Premier,Net New,6,No
850092,2026-04-02,2026-04,FY26-Q2,Lighthouse Media,SMB,Media,United Kingdom,Europe,Riley Morgan,Data Integration,Streaming,Event Stream Bridge,14,4475.00,15,2415.00,Renewal Desk,Inbound,Provisioned,Europe North,Priority,Subscription,Customer Managed,Advanced,Renewal,12,Yes
850093,2026-04-03,2026-04,FY26-Q2,Meridian Mining,Enterprise,Mining,South Africa,Middle East & Africa,Skyler Bennett,AI,Forecasting,Forecast Studio,20,8450.00,15,4735.00,Marketplace,Upsell,Booked,Africa South,Strategic,Subscription,Customer Managed,Advanced,Net New,36,No
